name,whatsapp_number,phonecall_number
PAKMAN AIR-CONDITIONING AND REFRIGERANT ENGINEERING,,0124459500
SYAFWAN ENGINEERING ENTERPRISE,,0134383020
ALIF AIRCONDITIONING SERVICE,0132252509,0132252509
MAN AIRCOND SERVICES ENTERPRISE,,0104291443
AA SYSTEM SDN BHD,0126873245,0126873245
REPTER ENGINEERING MANAGEMENT SDN BHD,,0163111584
SIN INTERIOR DESIGN STUDIO,,0186675899
PLUS ONE DESIGN CONSTRUCTION,,0127455440
AV GLOBAL SERVICES,,0173765118
RAMLAN ENTERPRISE,,0193022823
NAKEN ELETRICAL & AIR-CONDITION SERVICES,,0192005519
PERNIAGAAN AMIRJAYA,,0197412988
